measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Asia,Male,<5,All causes,Heart failure,Number,2019,61864.30655,84050.89913,44803.3476
Prevalence,Asia,Female,<5,All causes,Heart failure,Number,2019,53161.68713,72812.36475,37940.09378
Prevalence,Asia,Male,5-9,All causes,Heart failure,Number,2019,55343.87848,83753.36064,35307.31568
Prevalence,Asia,Female,5-9,All causes,Heart failure,Number,2019,47849.35859,72371.37412,30423.80381
Prevalence,Asia,Male,10-14,All causes,Heart failure,Number,2019,36153.40039,55630.65917,22664.17852
Prevalence,Asia,Female,10-14,All causes,Heart failure,Number,2019,32316.52014,49814.02686,20494.77984
Prevalence,Asia,Male,15-19,All causes,Heart failure,Number,2019,31922.99289,43710.25289,21836.62419
Prevalence,Asia,Female,15-19,All causes,Heart failure,Number,2019,28875.38816,40099.22954,19827.88016
Prevalence,Asia,Male,20-24,All causes,Heart failure,Number,2019,40043.50012,54917.24242,28065.7609
Prevalence,Asia,Female,20-24,All causes,Heart failure,Number,2019,35676.06476,47844.61908,25377.37402
Prevalence,Asia,Male,25-29,All causes,Heart failure,Number,2019,68816.87836,99975.56916,43753.75254
Prevalence,Asia,Female,25-29,All causes,Heart failure,Number,2019,58554.14951,82682.98565,38796.34368
Prevalence,Asia,Male,30-34,All causes,Heart failure,Number,2019,110072.6623,160970.0514,68432.58525
Prevalence,Asia,Female,30-34,All causes,Heart failure,Number,2019,87919.83649,126503.9331,56522.59734
Prevalence,Asia,Male,35-39,All causes,Heart failure,Number,2019,151907.5021,227733.8976,96122.2977
Prevalence,Asia,Female,35-39,All causes,Heart failure,Number,2019,113205.0471,166401.7322,72219.84231
Prevalence,Asia,Male,40-44,All causes,Heart failure,Number,2019,267186.9464,404364.7986,166706.2917
Prevalence,Asia,Female,40-44,All causes,Heart failure,Number,2019,193399.8763,288552.99,124460.4875
Prevalence,Asia,Male,45-49,All causes,Heart failure,Number,2019,599590.8795,856458.1042,406459.4181
Prevalence,Asia,Female,45-49,All causes,Heart failure,Number,2019,440243.2811,621183.702,305306.9628
Prevalence,Asia,Male,50-54,All causes,Heart failure,Number,2019,964333.9456,1377672.337,668026.72
Prevalence,Asia,Female,50-54,All causes,Heart failure,Number,2019,730410.4634,1032679.568,504532.7682
Prevalence,Asia,Male,55-59,All causes,Heart failure,Number,2019,1089124.295,1595649.833,698366.2957
Prevalence,Asia,Female,55-59,All causes,Heart failure,Number,2019,821603.229,1201731.903,540471.4128
Prevalence,Asia,Male,60-64,All causes,Heart failure,Number,2019,1474269.934,2087798.717,981102.2552
Prevalence,Asia,Female,60-64,All causes,Heart failure,Number,2019,1155058.573,1627003.597,801698.936
Prevalence,Asia,Male,65-69,All causes,Heart failure,Number,2019,2505481.158,3433205.479,1815475.117
Prevalence,Asia,Female,65-69,All causes,Heart failure,Number,2019,2167831.601,2948019.684,1574706.34
Prevalence,Asia,Male,70-74,All causes,Heart failure,Number,2019,2725693.329,3757007.547,1938031.187
Prevalence,Asia,Female,70-74,All causes,Heart failure,Number,2019,2510251.635,3460902.69,1785708.867
Prevalence,Asia,Male,75-79,All causes,Heart failure,Number,2019,2271102.816,3250174.924,1574440.728
Prevalence,Asia,Female,75-79,All causes,Heart failure,Number,2019,2321889.786,3367438.568,1608753.861
Prevalence,Asia,Male,80-84,All causes,Heart failure,Number,2019,1759938.297,2424467.871,1240748.959
Prevalence,Asia,Female,80-84,All causes,Heart failure,Number,2019,2207314.308,3097639.005,1532827.251
Prevalence,Asia,Male,85-89,All causes,Heart failure,Number,2019,1023372.86,1387838.44,727809.9586
Prevalence,Asia,Female,85-89,All causes,Heart failure,Number,2019,1861395.805,2502895.198,1339346.066
Prevalence,Asia,Male,90-94,All causes,Heart failure,Number,2019,331439.3786,466001.9768,228682.4145
Prevalence,Asia,Female,90-94,All causes,Heart failure,Number,2019,1020234.914,1432788.729,699923.1793
Prevalence,Asia,Male,95+,All causes,Heart failure,Number,2019,80043.29386,119486.548,50678.25552
Prevalence,Asia,Female,95+,All causes,Heart failure,Number,2019,355443.2557,533363.6117,229685.3352
