measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Asia,Both,<5,Rheumatic heart disease,Heart failure,Rate,2019,1.2564 ,2.0399 ,0.6836 
Prevalence,Asia,Both,<5,Ischemic heart disease,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,Hypertensive heart disease,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,Non-rheumatic degenerative mitral valve disease,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,Other non-rheumatic valve diseases,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,G6PD deficiency,Heart failure,Rate,2019,0.0469 ,0.0715 ,0.0290 
Prevalence,Asia,Both,<5,Other hemoglobinopathies and hemolytic anemias,Heart failure,Rate,2019,0.0164 ,0.0249 ,0.0102 
Prevalence,Asia,Both,<5,Congenital heart anomalies,Heart failure,Rate,2019,24.7841 ,35.8019 ,16.6557 
Prevalence,Asia,Both,<5,"Endocrine, metabolic, blood, and immune disorders",Heart failure,Rate,2019,0.5307 ,0.8023 ,0.3301 
Prevalence,Asia,Both,<5,Alcoholic cardiomyopathy,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,Myocarditis,Heart failure,Rate,2019,1.7707 ,2.8033 ,1.0172 
Prevalence,Asia,Both,<5,Other cardiomyopathy,Heart failure,Rate,2019,1.4836 ,2.3163 ,0.8680 
Prevalence,Asia,Both,<5,Non-rheumatic calcific aortic valve disease,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,Chagas disease,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
Prevalence,Asia,Both,<5,Endocarditis,Heart failure,Rate,2019,0.2879 ,0.4373 ,0.1802 
Prevalence,Asia,Both,<5,Thalassemias,Heart failure,Rate,2019,1.4327 ,2.1801 ,0.8824 
Prevalence,Asia,Both,10-14,Rheumatic heart disease,Heart failure,Rate,2019,2.0455 ,3.7201 ,0.9325 
Prevalence,Asia,Both,10-14,Ischemic heart disease,Heart failure,Rate,2019,0.0000 ,0.0000 ,0.0000 
