measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1990,794.5773316,984.6805023,644.6781891
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1990,709.6358236,883.3620545,576.7759091
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1991,791.2748802,979.3623096,641.9758687
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1991,709.2964869,881.910374,576.3755764
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1992,788.4146554,974.5957407,639.6827008
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1992,708.5596607,880.4457866,576.4981448
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1993,786.095158,970.5557559,638.9928931
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1993,707.6428165,879.5404154,577.0276736
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1994,784.5147061,967.4128658,637.3162299
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1994,706.5852099,877.7929193,576.0289315
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1995,784.0816503,965.7962226,636.317803
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1995,705.4985265,875.7605973,575.0654237
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1996,784.8193145,964.8691481,637.6663603
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1996,704.0355724,874.1078998,574.6395086
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1997,786.3446397,966.0832323,639.69517
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1997,701.7739246,871.0371614,571.9060432
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1998,788.0544811,969.8157898,641.1277357
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1998,699.3309169,866.5752319,569.0137755
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,1999,789.193826,972.9587357,642.7183268
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,1999,696.8725484,864.3340044,567.7888469
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2000,789.1100944,970.2614959,642.5555961
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2000,694.0046936,860.3065374,566.4483623
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2001,785.1315106,964.7516919,640.6013592
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2001,689.8130273,853.3038326,564.3991173
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2002,776.5822424,953.3814464,635.3722245
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2002,683.8605211,843.1405904,560.8882122
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2003,766.4799485,940.4691281,628.4684588
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2003,677.3767886,834.2504085,556.0349159
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2004,757.7666889,929.7993554,621.4802109
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2004,671.536847,827.9913678,551.7264828
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2005,753.3989477,924.8865131,619.2843296
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2005,667.6347044,824.3798225,549.425569
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2006,753.6103928,924.6136467,619.5481306
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2006,665.6979053,821.489803,547.4145995
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2007,755.0980817,925.8489535,620.9006345
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2007,664.1488686,818.4982031,545.768106
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2008,757.0200715,927.6171202,622.5797571
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2008,663.029811,816.299141,544.5127524
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2009,758.5052422,928.7233024,623.8164392
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2009,662.1896458,814.528536,544.8776572
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2010,758.5829651,927.7502311,623.6818578
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2010,661.4095661,812.7338881,545.3382919
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2011,757.24746,926.7249972,622.6957282
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2011,660.9412133,812.7675572,544.7251039
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2012,754.476599,924.0402617,619.4379678
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2012,660.3313265,813.336325,543.6123589
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2013,751.5118684,921.1364624,615.3199779
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2013,660.1047508,813.7503353,542.1214848
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2014,749.4105971,919.2020076,612.4571864
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2014,660.3106719,816.0263264,541.9531903
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2015,747.899054,917.7804438,611.0959576
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2015,660.4486693,817.7437956,541.407372
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2016,748.2587064,917.3353236,613.1909405
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2016,661.0713315,814.4984785,541.5647293
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2017,748.2534836,915.6376056,615.3204616
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2017,661.485056,813.7619297,540.9206755
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2018,748.3224211,917.750407,613.5124164
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2018,668.6536698,825.5317182,549.5822952
Prevalence,Asia,Male,Age-standardized,All causes,Heart failure,Rate,2019,750.8523069,925.5399361,614.8907453
Prevalence,Asia,Female,Age-standardized,All causes,Heart failure,Rate,2019,685.6646874,846.2396637,563.2847251
