measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Asia,Male,<5,All causes,Heart failure,Rate,2019,33.51390142,45.53309823,24.27142658
Prevalence,Asia,Female,<5,All causes,Heart failure,Rate,2019,31.59662776,43.27600024,22.54967976
Prevalence,Asia,Male,5-9,All causes,Heart failure,Rate,2019,29.92638071,45.28838645,19.09190682
Prevalence,Asia,Female,5-9,All causes,Heart failure,Rate,2019,28.33937652,42.86284458,18.01887542
Prevalence,Asia,Male,10-14,All causes,Heart failure,Rate,2019,19.39611274,29.84556156,12.15921481
Prevalence,Asia,Female,10-14,All causes,Heart failure,Rate,2019,18.9985793,29.2851995,12.04868898
Prevalence,Asia,Male,15-19,All causes,Heart failure,Rate,2019,17.25565371,23.62713891,11.80356825
Prevalence,Asia,Female,15-19,All causes,Heart failure,Rate,2019,16.86518812,23.42067389,11.58082887
Prevalence,Asia,Male,20-24,All causes,Heart failure,Rate,2019,22.06157628,30.2561197,15.46255755
Prevalence,Asia,Female,20-24,All causes,Heart failure,Rate,2019,20.71655236,27.7826482,14.73625808
Prevalence,Asia,Male,25-29,All causes,Heart failure,Rate,2019,36.61441253,53.19257163,23.27943352
Prevalence,Asia,Female,25-29,All causes,Heart failure,Rate,2019,32.35409062,45.68647709,21.43691659
Prevalence,Asia,Male,30-34,All causes,Heart failure,Rate,2019,57.47892173,84.05706555,35.73486032
Prevalence,Asia,Female,30-34,All causes,Heart failure,Rate,2019,47.87261182,68.88176691,30.77672195
Prevalence,Asia,Male,35-39,All causes,Heart failure,Rate,2019,90.08246127,135.0481689,57.00135304
Prevalence,Asia,Female,35-39,All causes,Heart failure,Rate,2019,70.14881512,103.1127555,44.75185952
Prevalence,Asia,Male,40-44,All causes,Heart failure,Rate,2019,171.8424411,260.0689705,107.2178731
Prevalence,Asia,Female,40-44,All causes,Heart failure,Rate,2019,129.9747507,193.9225797,83.64390476
Prevalence,Asia,Male,45-49,All causes,Heart failure,Rate,2019,389.5318021,556.4088451,264.0615044
Prevalence,Asia,Female,45-49,All causes,Heart failure,Rate,2019,296.8528834,418.85971,205.8662928
Prevalence,Asia,Male,50-54,All causes,Heart failure,Rate,2019,685.8169546,979.775783,475.088586
Prevalence,Asia,Female,50-54,All causes,Heart failure,Rate,2019,526.9718846,745.0510714,364.0070851
Prevalence,Asia,Male,55-59,All causes,Heart failure,Rate,2019,969.5247616,1420.42743,621.6769009
Prevalence,Asia,Female,55-59,All causes,Heart failure,Rate,2019,731.4873261,1069.922349,481.1908895
Prevalence,Asia,Male,60-64,All causes,Heart failure,Rate,2019,1599.127639,2264.616917,1064.192993
Prevalence,Asia,Female,60-64,All causes,Heart failure,Rate,2019,1233.003866,1736.796532,855.7989266
Prevalence,Asia,Male,65-69,All causes,Heart failure,Rate,2019,3309.395504,4534.791546,2397.992565
Prevalence,Asia,Female,65-69,All causes,Heart failure,Rate,2019,2725.825795,3706.832255,1980.03164
Prevalence,Asia,Male,70-74,All causes,Heart failure,Rate,2019,5184.368777,7145.966281,3686.206466
Prevalence,Asia,Female,70-74,All causes,Heart failure,Rate,2019,4442.840229,6125.377029,3160.48761
Prevalence,Asia,Male,75-79,All causes,Heart failure,Rate,2019,6849.228425,9801.929848,4748.223689
Prevalence,Asia,Female,75-79,All causes,Heart failure,Rate,2019,6052.20933,8777.523913,4193.358008
Prevalence,Asia,Male,80-84,All causes,Heart failure,Rate,2019,9122.983954,12567.70281,6431.664603
Prevalence,Asia,Female,80-84,All causes,Heart failure,Rate,2019,8673.970146,12172.63358,6023.472855
Prevalence,Asia,Male,85-89,All causes,Heart failure,Rate,2019,12633.48682,17132.79619,8984.777571
Prevalence,Asia,Female,85-89,All causes,Heart failure,Rate,2019,14060.1634,18905.76705,10116.8298
Prevalence,Asia,Male,90-94,All causes,Heart failure,Rate,2019,15152.11113,21303.78643,10454.46492
Prevalence,Asia,Female,90-94,All causes,Heart failure,Rate,2019,20435.64726,28699.23843,14019.69586
Prevalence,Asia,Male,95+,All causes,Heart failure,Rate,2019,18062.21094,26962.79889,11435.828
Prevalence,Asia,Female,95+,All causes,Heart failure,Rate,2019,26227.29173,39355.60125,16947.92121
