measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Smoking,Number,1990,3475304.2615253967,3967052.505677774,2674422.4526110617
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Smoking,Percent,1990,0.423394192225857,0.4629114901419887,0.3823202102142405
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Smoking,Rate,1990,64.96080757386962,74.15262522759937,49.99062793973857
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Alcohol use,Number,1990,1792112.5984334555,2281636.0006462377,1277343.4210251616
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Alcohol use,Percent,1990,0.2184125384023156,0.2723706179871176,0.16652300883276355
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Alcohol use,Rate,1990,33.49838543530722,42.64861607442049,23.876257712912672
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,High body-mass index,Number,1990,917928.7286984149,1976143.8319445613,256225.5918665302
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,High body-mass index,Percent,1990,0.11221599338911643,0.23951070078710493,0.0315663352562106
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,High body-mass index,Rate,1990,17.158034814865925,36.938319509582925,4.789399752134745
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Diet low in fruits,Number,1990,1358518.2346291472,2387194.883719029,473228.68226128217
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Diet low in fruits,Percent,1990,0.16557229036482102,0.28719090734856595,0.06006574885157417
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Diet low in fruits,Rate,1990,25.393587146410603,44.62173548353789,8.845647763030101
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Chewing tobacco,Number,1990,261073.37548714873,351920.20749176265,182522.556250147
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Chewing tobacco,Percent,1990,0.03199246000110261,0.045439141082052596,0.02222818839429145
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Esophageal cancer,Chewing tobacco,Rate,1990,4.8800151098820175,6.578135081097749,3.4117336964483136
DALYs (Disability-Adjusted Life Years),Western Europe,Both,All Ages,Esophageal cancer,Chewing tobacco,Number,1990,1696.0807151803015,2533.5122180560124,1006.1673798581378
DALYs (Disability-Adjusted Life Years),Western Europe,Both,All Ages,Esophageal cancer,Chewing tobacco,Percent,1990,0.002820454732964918,0.004166196462930457,0.0016750836860413708
DALYs (Disability-Adjusted Life Years),Western Europe,Both,All Ages,Esophageal cancer,Chewing tobacco,Rate,1990,0.44100760858436117,0.6587529441282327,0.26161931213259465
DALYs (Disability-Adjusted Life Years),East Asia,Both,All Ages,Esophageal cancer,Smoking,Number,1990,1987660.0644350485,2422129.5880666347,1251626.8110076871
DALYs (Disability-Adjusted Life Years),East Asia,Both,All Ages,Esophageal cancer,Smoking,Percent,1990,0.43572477175347424,0.48287806677184814,0.38313582788982
DALYs (Disability-Adjusted Life Years),East Asia,Both,All Ages,Esophageal cancer,Smoking,Rate,1990,162.23996079321455,197.7029253821162,102.16228035116234
DALYs (Disability-Adjusted Life Years),East Asia,Both,All Ages,Esophageal cancer,Alcohol use,Number,1990,951889.8683638473,1297661.3305519028,584989.670611576
DALYs (Disability-Adjusted Life Years),East Asia,Both,All Ages,Esophageal cancer,Alcohol use,Percent,1990,0.20861558912619324,0.26482179204648437,0.1553850016451586
DALYs (Disability-Adjusted Life Years),East Asia,Both,All Ages,Esophageal cancer,Alcohol use,Rate,1990,77.69667343329307,105.91978334658063,47.74896015805056
DALYs (Disability-Adjusted Life Years),Central Asia,Both,All Ages,Esophageal cancer,Smoking,Number,1990,55712.83949468296,61272.11983222204,50035.697502682124
DALYs (Disability-Adjusted Life Years),Central Asia,Both,All Ages,Esophageal cancer,Smoking,Percent,1990,0.3261598729797698,0.356663488923024,0.29466443599414355
DALYs (Disability-Adjusted Life Years),Central Asia,Both,All Ages,Esophageal cancer,Smoking,Rate,1990,80.43292152856203,88.45888400328442,72.23680155889708
DALYs (Disability-Adjusted Life Years),Southeast Asia,Both,All Ages,Esophageal cancer,Smoking,Number,1990,76705.51474319863,90930.4655612851,61265.389886361816
