measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Esophageal cancer,Number,1990,319331.6212724109,350801.5772050766,248666.04125898788
Deaths,Global,Both,All Ages,Esophageal cancer,Rate,1990,5.968985286089414,6.557225508487311,4.648095717895756
Deaths,Global,Both,Age-standardized,Esophageal cancer,Rate,1990,8.179419074745443,8.967824003775162,6.395575608732472
Deaths,East Asia,Both,All Ages,Esophageal cancer,Number,1990,179088.03930649214,208582.51225554515,114836.17140598613
Deaths,East Asia,Both,All Ages,Esophageal cancer,Rate,1990,14.617809652415213,17.025254577476353,9.3733411864093
Deaths,East Asia,Both,Age-standardized,Esophageal cancer,Rate,1990,21.550830157688413,24.882597710780416,13.886756007303594
Deaths,High-income North America,Both,All Ages,Esophageal cancer,Number,1990,12514.89123652152,12861.899978573007,12084.868847255982
Deaths,High-income North America,Both,All Ages,Esophageal cancer,Rate,1990,4.454895849775025,4.578419720305324,4.301821810133443
Deaths,High-income North America,Both,Age-standardized,Esophageal cancer,Rate,1990,3.6191704317601854,3.71606022594086,3.5023418301252955
Deaths,Andean Latin America,Both,All Ages,Esophageal cancer,Number,1990,411.9983504185273,464.4777247782182,346.7604150256115
Deaths,Andean Latin America,Both,All Ages,Esophageal cancer,Rate,1990,1.079174506886468,1.2166372003385142,0.9082924713481664
Deaths,Andean Latin America,Both,Age-standardized,Esophageal cancer,Rate,1990,2.138813387785996,2.4083026952525235,1.7984351817665745
Deaths,Western Europe,Both,All Ages,Esophageal cancer,Number,1990,25954.259285812328,26462.8202418179,25117.102243981662
Deaths,Western Europe,Both,All Ages,Esophageal cancer,Rate,1990,6.74851480697236,6.880748638192801,6.530840835608298
Deaths,Western Europe,Both,Age-standardized,Esophageal cancer,Rate,1990,4.593347363388822,4.680846548048484,4.450119472519839
Deaths,Australasia,Both,All Ages,Esophageal cancer,Number,1990,1015.6765983936671,1054.0831046951134,969.8129584456979
Deaths,Australasia,Both,All Ages,Esophageal cancer,Rate,1990,5.0088707440109665,5.198274759124849,4.78269142205694
Deaths,Australasia,Both,Age-standardized,Esophageal cancer,Rate,1990,4.33195400967069,4.5002369776204905,4.120154365563477
Deaths,Central Europe,Both,All Ages,Esophageal cancer,Number,1990,4328.494566300024,4442.99521064386,4205.859078408812
Deaths,Central Europe,Both,All Ages,Esophageal cancer,Rate,1990,3.5200522186728382,3.6131673285542183,3.420321627672351
Deaths,Central Europe,Both,Age-standardized,Esophageal cancer,Rate,1990,2.9575503075659584,3.0332937820445696,2.860640087922307
Deaths,Oceania,Both,All Ages,Esophageal cancer,Number,1990,63.35762617655749,89.21587745041462,47.6552112738132
Deaths,Oceania,Both,All Ages,Esophageal cancer,Rate,1990,0.9792800155736403,1.3789551650119132,0.736577407561587
Deaths,Oceania,Both,Age-standardized,Esophageal cancer,Rate,1990,2.335685144933953,3.264709527324399,1.8201522316919374
Deaths,Tropical Latin America,Both,All Ages,Esophageal cancer,Number,1990,6205.3164021240755,6464.641524104416,5949.299061729174
Deaths,Tropical Latin America,Both,All Ages,Esophageal cancer,Rate,1990,4.058918502771795,4.228543944510634,3.8914566921857014
Deaths,Tropical Latin America,Both,Age-standardized,Esophageal cancer,Rate,1990,6.941081374047945,7.2553143338286805,6.622122662193148
Deaths,Global,Both,All Ages,Esophageal cancer,Number,1991,327023.3488933874,357351.34801876405,256912.0313325521
Deaths,Global,Both,All Ages,Esophageal cancer,Rate,1991,6.019481854826294,6.577725910017323,4.728950749620722
Deaths,Global,Both,Age-standardized,Esophageal cancer,Rate,1991,8.189837255094599,8.92898774179195,6.4535010562828194
