"","location","Num_1990","ASR_1990","Num_2019","ASR_2019","EAPC_CI"
"1","Andean Latin America","385.8 (325.5-435.5)","2 (1.6-2.2)","827 (670.1-1021.2)","1.5 (1.2-1.9)","-0.85 (-0.94--0.76)"
"2","Australasia","1076.2 (1024.2-1119.9)","4.6 (4.4-4.8)","2191.7 (1766.7-2707.1)","4.4 (3.5-5.5)","-0.3 (-0.39--0.2)"
"3","Caribbean","984.7 (921.4-1061.6)","3.8 (3.6-4.1)","1920 (1641.1-2200.1)","3.7 (3.2-4.2)","0.07 (-0.13-0.27)"
"4","Central Asia","6414.6 (6206.1-6652.6)","13.8 (13.3-14.3)","4833.7 (4273.7-5679.3)","6.7 (6-7.8)","-2.85 (-3.08--2.61)"
"5","Central Europe","4277.3 (4164.9-4385.6)","2.9 (2.8-3)","5852.9 (5108.9-6664.2)","2.9 (2.5-3.3)","-0.17 (-0.27--0.07)"
"6","Central Latin America","1909.3 (1837.9-1965.1)","2.4 (2.3-2.5)","3869 (3281.1-4510.6)","1.7 (1.4-1.9)","-1.48 (-1.6--1.37)"
"7","Central Sub-Saharan Africa","2482 (1149.4-3295.9)","10.8 (5-14.3)","4431.4 (2377.7-6020.1)","8.4 (4.5-11.6)","-1.09 (-1.18--1)"
"8","East Asia","176235.9 (114353.7-205920.9)","20.5 (13.4-23.7)","284907.7 (220166.1-338885.8)","13.7 (10.6-16.3)","-1.54 (-1.98--1.09)"
"9","Eastern Europe","12164.7 (11699.1-12874.8)","4.3 (4.1-4.5)","11086.1 (9668.9-12604.1)","3.2 (2.8-3.7)","-1.38 (-1.62--1.14)"
"10","Eastern Sub-Saharan Africa","8438.1 (6393.1-9880.6)","11.2 (8.5-13)","16390.7 (12430.6-20713)","10 (7.7-12.6)","-0.46 (-0.54--0.38)"
"11","Global","319968.7 (253394.8-351209.9)","8.1 (6.4-8.8)","534563.2 (466513.3-595342.5)","6.5 (5.7-7.2)","-0.9 (-1.18--0.62)"
"12","High-income Asia Pacific","13197.7 (12649.6-13570.8)","6.5 (6.2-6.7)","25158.8 (21213.3-29616.4)","5.7 (4.8-6.8)","-0.57 (-0.74--0.4)"
"13","High-income North America","13204.1 (12783.9-13564.8)","3.9 (3.7-4)","26162 (22461.4-30594.4)","4.2 (3.6-5)","0.19 (0.07-0.31)"
"14","North Africa and Middle East","4370.9 (3077-5235.9)","2.5 (1.8-3)","10024.2 (7414.9-11436.1)","2.4 (1.8-2.7)","-0.32 (-0.36--0.28)"
"15","Oceania","63.1 (47.3-88.8)","2.2 (1.7-3.1)","147 (110.3-196.3)","2.2 (1.7-2.9)","-0.05 (-0.08--0.03)"
"16","South Asia","25604.2 (22501-32082.1)","4.5 (4-5.7)","53487.7 (46152-72051)","3.8 (3.3-5.1)","-0.86 (-0.98--0.73)"
"17","Southeast Asia","7090 (6039.5-8058.8)","2.7 (2.4-3.1)","15543 (13193.4-18202.3)","2.5 (2.2-3)","-0.34 (-0.39--0.3)"
"18","Southern Latin America","3381.9 (3258.7-3495.2)","7.4 (7.1-7.7)","3944.5 (3157.7-4942.7)","4.7 (3.8-5.9)","-1.93 (-2.09--1.77)"
"19","Southern Sub-Saharan Africa","3723.6 (2787.9-4579.4)","13.3 (9.9-16.5)","5941.5 (5316.4-6943.2)","10.7 (9.6-12.3)","-1.36 (-1.89--0.81)"
"20","Tropical Latin America","6130.8 (5908.3-6370.6)","6.7 (6.4-6.9)","12683.6 (11992.5-13294.4)","5.2 (4.9-5.4)","-0.84 (-0.89--0.79)"
"21","Western Europe","26996.1 (26237.1-27496.1)","4.8 (4.7-4.9)","40174.3 (35132.5-45706.4)","4.6 (4.1-5.3)","-0.23 (-0.34--0.12)"
"22","Western Sub-Saharan Africa","1837.9 (1583.7-2144.6)","2.1 (1.8-2.4)","4986.4 (3776.3-5992)","2.7 (2.1-3.2)","1.16 (1.04-1.28)"
