"","location","Num_1990","ASR_1990","Num_2019","ASR_2019","AAPC"
"1","Afghanistan","517.8 (168.6-772.5)","7.2 (2.4-10.4)","826.9 (266-1203)","6.5 (2.1-9.2)","-0.261 (-0.33 - -0.191)"
"2","Albania","42.7 (38.7-50.8)","2.1 (1.9-2.4)","58.6 (42-85.6)","1.4 (1-2)","-1.628 (-2.063 - -1.19)"
"3","Algeria","147.5 (111.1-185.9)","1.3 (1-1.6)","343.8 (243.8-439.1)","1.1 (0.8-1.4)","-0.712 (-0.777 - -0.647)"
"4","American Samoa","0.3 (0.2-0.3)","1.3 (1.1-1.6)","0.7 (0.5-0.8)","1.4 (1.1-1.7)","0.36 (0.068 - 0.653)"
"5","Andorra","2.5 (1.8-3.4)","4.4 (3.3-6)","5.8 (4.2-7.5)","4.1 (3-5.4)","-0.212 (-0.341 - -0.082)"
"6","Angola","445.6 (205.6-601.1)","11.1 (5.2-14.9)","908.4 (498.5-1220.9)","8.2 (4.4-11.1)","-1.113 (-1.261 - -0.966)"
"7","Antigua and Barbuda","1.7 (1.5-1.9)","3.2 (2.9-3.6)","3 (2.5-3.6)","3 (2.5-3.5)","-0.54 (-1.336 - 0.262)"
"8","Argentina","2308.6 (2209.9-2406.1)","7.2 (6.9-7.5)","2680.9 (2120.7-3365.6)","5 (3.9-6.3)","-1.25 (-1.659 - -0.84)"
"9","Armenia","62 (57.7-66.6)","2.3 (2.1-2.5)","64.2 (52.4-77.1)","1.5 (1.3-1.8)","-1.56 (-1.784 - -1.336)"
"10","Australia","883.5 (840.7-923)","4.5 (4.3-4.7)","1815.2 (1396.2-2341.8)","4.3 (3.3-5.6)","-0.323 (-0.432 - -0.214)"
"11","Austria","390.8 (371.2-410.5)","3.5 (3.3-3.7)","500.7 (399.7-622.3)","3 (2.4-3.8)","-0.526 (-0.671 - -0.382)"
"12","Azerbaijan","491.6 (446.8-551.3)","9.7 (8.8-11)","780.6 (595.4-1188.4)","8.7 (6.5-13.4)","-0.277 (-0.395 - -0.158)"
"13","Bahamas","10.1 (8.9-11.3)","6.5 (5.7-7.2)","20.3 (16.1-25.4)","5.1 (4-6.3)","-0.771 (-0.997 - -0.545)"
"14","Bahrain","6.4 (3.7-7.8)","4.1 (2.3-5)","16.4 (12-21.6)","1.9 (1.5-2.5)","-2.661 (-3.175 - -2.143)"
"15","Bangladesh","2838 (2129.5-3434.9)","6 (4.6-7.3)","4982.3 (3522.5-7506.7)","3.8 (2.7-5.7)","-1.632 (-1.984 - -1.28)"
"16","Barbados","15.9 (14.4-17.5)","5.6 (5.1-6.1)","24.1 (19.5-29.2)","4.9 (4-6)","-0.536 (-0.959 - -0.111)"
"17","Belarus","401.2 (380.1-422.6)","3.1 (2.9-3.2)","482.7 (366.1-638.6)","3 (2.3-4)","-0.269 (-0.648 - 0.11)"
"18","Belgium","602.1 (569.9-634)","4.1 (3.9-4.3)","1128.9 (882.9-1432.1)","5.3 (4-6.7)","0.913 (0.764 - 1.063)"
"19","Belize","1.8 (1.6-2)","2 (1.7-2.2)","6.7 (5.7-7.8)","2.4 (2-2.8)","0.581 (-0.197 - 1.366)"
"20","Benin","71.1 (54.4-86)","3.6 (2.8-4.3)","232.7 (138.5-321.2)","4.9 (2.9-6.6)","1.072 (0.956 - 1.188)"
"21","Bermuda","4.4 (3.9-4.8)","7 (6.3-7.8)","5.7 (4.7-7)","4.4 (3.7-5.5)","-1.516 (-1.688 - -1.344)"
"22","Bhutan","13.5 (9.5-17.9)","5.4 (3.9-7)","25.9 (18.1-36.1)","4.7 (3.3-6.5)","-0.503 (-0.57 - -0.437)"
"23","Bolivia (Plurinational State of)","78.3 (57-103.2)","2.5 (1.9-3.3)","195.2 (150.3-246.9)","2.3 (1.8-2.9)","-0.338 (-0.413 - -0.263)"
"24","Bosnia and Herzegovina","101.4 (92.2-111.6)","2.4 (2.2-2.7)","119.7 (92.4-151.3)","2 (1.6-2.5)","-0.753 (-1.185 - -0.319)"
"25","Botswana","79.8 (44.1-111.7)","13.8 (7.7-19)","178.2 (109.7-241.4)","12.7 (7.7-16.7)","-0.329 (-0.465 - -0.192)"
"26","Brazil","6063 (5841.3-6305)","6.7 (6.5-7)","12473.3 (11792.3-13087.1)","5.2 (4.9-5.5)","-0.901 (-1.017 - -0.785)"
"27","Brunei Darussalam","4.4 (3.3-5.3)","5 (3.8-6)","8.8 (7.3-10.8)","3.3 (2.8-4)","-1.499 (-1.666 - -1.332)"
"28","Bulgaria","303.7 (283.2-324.3)","2.4 (2.3-2.6)","258.5 (201.2-327.1)","2 (1.5-2.5)","-0.635 (-0.852 - -0.418)"
"29","Burkina Faso","156.5 (118.1-193.9)","3.6 (2.7-4.4)","431.2 (252-558.3)","4.8 (2.8-6.1)","1.091 (0.917 - 1.265)"
"30","Burundi","400.2 (216.5-534.3)","16.9 (9.2-22.2)","538.4 (358-782.7)","11.5 (7.7-16.4)","-1.371 (-1.478 - -1.264)"
"31","Cabo Verde","21 (18.2-24.8)","9.2 (8-10.8)","65.4 (54.5-77)","15.6 (13-18.1)","1.992 (1.297 - 2.692)"
"32","Cambodia","160.4 (116.8-214.9)","3.5 (2.6-4.6)","333.4 (254.8-459.9)","2.8 (2.2-3.9)","-0.765 (-0.858 - -0.673)"
"33","Cameroon","186.9 (139-239.6)","4.2 (3.2-5.3)","668.2 (371.2-961.9)","5.6 (3.1-8)","1.071 (0.943 - 1.199)"
"34","Canada","1216.7 (1162-1270.5)","3.8 (3.6-3.9)","3002 (2346.8-3791.8)","4.4 (3.4-5.6)","0.738 (0.47 - 1.006)"
"35","Central African Republic","162 (74.1-220.1)","13.3 (6.2-17.8)","230.8 (130.4-323.5)","10.3 (5.7-14.1)","-0.863 (-0.959 - -0.768)"
"36","Chad","87.4 (64.8-111.1)","3.1 (2.3-3.9)","256.2 (145.7-352.1)","4.6 (2.6-6.3)","1.45 (1.291 - 1.609)"
"37","Chile","710.9 (671.5-746.9)","7.5 (7.1-7.9)","934.5 (728.4-1178.5)","3.9 (3-4.9)","-2.328 (-2.698 - -1.956)"
"38","China","173686.9 (112107.1-203391.3)","21 (13.6-24.3)","278120.7 (213512.1-331599.9)","13.9 (10.7-16.5)","-1.312 (-1.666 - -0.957)"
"39","Colombia","684.2 (649.5-720.9)","4.1 (3.9-4.4)","1012.5 (766.9-1308.4)","1.9 (1.4-2.5)","-2.771 (-3.464 - -2.073)"
"40","Comoros","31.5 (15.8-43.2)","14.3 (7.5-19.4)","54.5 (36.9-76.7)","11.2 (7.7-15.8)","-0.809 (-1.089 - -0.528)"
"41","Congo","158.5 (74.8-213.9)","14.6 (6.9-19.5)","259.9 (145.4-359.1)","10.1 (5.6-13.7)","-1.257 (-1.423 - -1.09)"
"42","Cook Islands","0.4 (0.3-0.5)","3.2 (2.7-4.2)","0.7 (0.5-0.8)","2.6 (2.2-3.2)","-0.703 (-0.871 - -0.534)"
"43","Costa Rica","46.8 (43-50.6)","2.8 (2.5-3)","88.2 (67.3-112.5)","1.7 (1.3-2.2)","-1.967 (-2.326 - -1.608)"
"44","Croatia","251.1 (230.6-273.5)","3.8 (3.5-4.2)","229.8 (174.5-296.4)","2.8 (2.1-3.6)","-1.242 (-1.522 - -0.962)"
"45","Cuba","376.7 (355.2-398.2)","3.7 (3.5-3.9)","984.9 (783.4-1218.6)","5.2 (4.1-6.5)","1.551 (1.404 - 1.697)"
"46","Cyprus","9.7 (7.9-13.1)","1.2 (1-1.7)","27.3 (20.6-32.7)","1.4 (1.1-1.7)","0.18 (-0.137 - 0.499)"
"47","Czechia","382.7 (361.9-401.3)","2.8 (2.7-3)","660.1 (527.6-816.3)","3.4 (2.7-4.2)","0.585 (0.216 - 0.954)"
