"location"	"Joinpoint Model"	"AAPC Index"	"Start Obs"	"End Obs"	"AAPC"	"AAPC C.I. Low"	"AAPC C.I. High"	"Statistically Significant (0=No  1=Yes)"	"Test Statistic"	"P-Value"
"Afghanistan"	2	"Full Range"	1990.000	2019.000	-0.261	-0.330	-0.191	1	-7.357	0.000
"Albania"	1	"Full Range"	1990.000	2019.000	-1.628	-2.063	-1.190	1	-7.254	0.000
"Algeria"	2	"Full Range"	1990.000	2019.000	-0.712	-0.777	-0.647	1	-21.464	0.000
"American Samoa"	2	"Full Range"	1990.000	2019.000	0.360	0.068	0.653	1	2.419	0.016
"Andorra"	2	"Full Range"	1990.000	2019.000	-0.212	-0.341	-0.082	1	-3.205	0.001
"Angola"	2	"Full Range"	1990.000	2019.000	-1.113	-1.261	-0.966	1	-14.702	0.000
"Antigua and Barbuda"	2	"Full Range"	1990.000	2019.000	-0.540	-1.336	0.262	0	-1.322	0.186
"Argentina"	2	"Full Range"	1990.000	2019.000	-1.250	-1.659	-0.840	1	-5.951	0.000
"Armenia"	1	"Full Range"	1990.000	2019.000	-1.560	-1.784	-1.336	1	-13.558	0.000
"Australia"	1	"Full Range"	1990.000	2019.000	-0.323	-0.432	-0.214	1	-5.820	0.000
"Austria"	2	"Full Range"	1990.000	2019.000	-0.526	-0.671	-0.382	1	-7.120	0.000
"Azerbaijan"	2	"Full Range"	1990.000	2019.000	-0.277	-0.395	-0.158	1	-4.549	0.000
"Bahamas"	2	"Full Range"	1990.000	2019.000	-0.771	-0.997	-0.545	1	-6.669	0.000
"Bahrain"	2	"Full Range"	1990.000	2019.000	-2.661	-3.175	-2.143	1	-9.970	0.000
"Bangladesh"	2	"Full Range"	1990.000	2019.000	-1.632	-1.984	-1.280	1	-9.016	0.000
"Barbados"	1	"Full Range"	1990.000	2019.000	-0.536	-0.959	-0.111	1	-2.469	0.014
"Belarus"	1	"Full Range"	1990.000	2019.000	-0.269	-0.648	0.110	0	-1.391	0.164
"Belgium"	2	"Full Range"	1990.000	2019.000	0.913	0.764	1.063	1	12.029	0.000
"Belize"	2	"Full Range"	1990.000	2019.000	0.581	-0.197	1.366	0	1.462	0.144
"Benin"	2	"Full Range"	1990.000	2019.000	1.072	0.956	1.188	1	18.170	0.000
"Bermuda"	2	"Full Range"	1990.000	2019.000	-1.516	-1.688	-1.344	1	-17.181	0.000
"Bhutan"	2	"Full Range"	1990.000	2019.000	-0.503	-0.570	-0.437	1	-14.792	0.000
"Bolivia (Plurinational State of)"	2	"Full Range"	1990.000	2019.000	-0.338	-0.413	-0.263	1	-8.810	0.000
"Bosnia and Herzegovina"	2	"Full Range"	1990.000	2019.000	-0.753	-1.185	-0.319	1	-3.397	0.001
"Botswana"	2	"Full Range"	1990.000	2019.000	-0.329	-0.465	-0.192	1	-4.712	0.000
"Brazil"	2	"Full Range"	1990.000	2019.000	-0.901	-1.017	-0.785	1	-15.161	0.000
"Brunei Darussalam"	1	"Full Range"	1990.000	2019.000	-1.499	-1.666	-1.332	1	-17.433	0.000
"Bulgaria"	2	"Full Range"	1990.000	2019.000	-0.635	-0.852	-0.418	1	-5.721	0.000
"Burkina Faso"	2	"Full Range"	1990.000	2019.000	1.091	0.917	1.265	1	12.364	0.000
"Burundi"	2	"Full Range"	1990.000	2019.000	-1.371	-1.478	-1.264	1	-24.869	0.000
"Cabo Verde"	2	"Full Range"	1990.000	2019.000	1.992	1.297	2.692	1	5.652	0.000
"Cambodia"	2	"Full Range"	1990.000	2019.000	-0.765	-0.858	-0.673	1	-16.152	0.000
"Cameroon"	2	"Full Range"	1990.000	2019.000	1.071	0.943	1.199	1	16.535	0.000
"Canada"	2	"Full Range"	1990.000	2019.000	0.738	0.470	1.006	1	5.419	0.000
"Central African Republic"	2	"Full Range"	1990.000	2019.000	-0.863	-0.959	-0.768	1	-17.696	0.000
"Chad"	2	"Full Range"	1990.000	2019.000	1.450	1.291	1.609	1	18.007	0.000
"Chile"	2	"Full Range"	1990.000	2019.000	-2.328	-2.698	-1.956	1	-12.167	0.000
"China"	2	"Full Range"	1990.000	2019.000	-1.312	-1.666	-0.957	1	-7.214	0.000
"Colombia"	1	"Full Range"	1990.000	2019.000	-2.771	-3.464	-2.073	1	-7.701	0.000
"Comoros"	2	"Full Range"	1990.000	2019.000	-0.809	-1.089	-0.528	1	-5.628	0.000
